rank,finalWorth,category,personName,age,country,source,industries,countryOfCitizenship,selfMade,status,gender,birthDate,date,birthYear,birthMonth,birthDay,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,total_tax_rate_country,population_country
1,211000,Fashion & Retail,Bernard Arnault & family,74,France,LVMH,Fashion & Retail,France,False,U,M,1949-03-05 00:00:00,4/4/2023 5:01,1949.0,3.0,5.0,-2147483648,66,103,61,67059887
2,180000,Automotive,Elon Musk,52,United States,"Tesla, SpaceX",Automotive,United States,True,D,M,1971-06-28 00:00:00,4/4/2023 5:01,1971.0,6.0,28.0,-2147483648,89,102,37,328239523
3,114000,Technology,Jeff Bezos,59,United States,Amazon,Technology,United States,True,D,M,1964-01-12 00:00:00,4/4/2023 5:01,1964.0,1.0,12.0,-2147483648,89,102,37,328239523
4,107000,Technology,Larry Ellison,79,United States,Oracle,Technology,United States,True,U,M,1944-08-17 00:00:00,4/4/2023 5:01,1944.0,8.0,17.0,-2147483648,89,102,37,328239523
5,106000,Finance & Investments,Warren Buffett,93,United States,Berkshire Hathaway,Finance & Investments,United States,True,D,M,1930-08-30 00:00:00,4/4/2023 5:01,1930.0,8.0,30.0,-2147483648,89,102,37,328239523
6,104000,Technology,Bill Gates,68,United States,Microsoft,Technology,United States,True,D,M,1955-10-28 00:00:00,4/4/2023 5:01,1955.0,10.0,28.0,-2147483648,89,102,37,328239523
7,94500,Media & Entertainment,Michael Bloomberg,81,United States,Bloomberg LP,Media & Entertainment,United States,True,U,M,1942-02-14 00:00:00,4/4/2023 5:01,1942.0,2.0,14.0,-2147483648,89,102,37,328239523
8,93000,Telecom,Carlos Slim Helu & family,83,Mexico,Telecom,Telecom,Mexico,True,U,M,1940-01-28 00:00:00,4/4/2023 5:01,1940.0,1.0,28.0,-2147483648,41,106,56,126014024
9,83400,Diversified,Mukesh Ambani,66,India,Diversified,Diversified,India,False,D,M,1957-04-19 00:00:00,4/4/2023 5:01,1957.0,4.0,19.0,-2147483648,29,113,50,1366417754
10,80700,Technology,Steve Ballmer,67,United States,Microsoft,Technology,United States,True,D,M,1956-03-24 00:00:00,4/4/2023 5:01,1956.0,3.0,24.0,-2147483648,89,102,37,328239523
11,80500,Fashion & Retail,Francoise Bettencourt Meyers & family,70,France,L'Oréal,Fashion & Retail,France,False,U,F,1953-07-10 00:00:00,4/4/2023 5:01,1953.0,7.0,10.0,-2147483648,66,103,61,67059887
12,79200,Technology,Larry Page,50,United States,Google,Technology,United States,True,D,M,1973-03-26 00:00:00,4/4/2023 5:01,1973.0,3.0,26.0,-2147483648,89,102,37,328239523
13,77300,Fashion & Retail,Amancio Ortega,87,Spain,Zara,Fashion & Retail,Spain,True,U,M,1936-03-28 00:00:00,4/4/2023 5:01,1936.0,3.0,28.0,-2147483648,89,103,47,47076781
14,76000,Technology,Sergey Brin,50,United States,Google,Technology,United States,True,D,M,1973-08-21 00:00:00,4/4/2023 5:01,1973.0,8.0,21.0,-2147483648,89,102,37,328239523
15,68000,Food & Beverage,Zhong Shanshan,69,China,"Beverages, pharmaceuticals",Food & Beverage,China,True,U,M,1954-12-01 00:00:00,4/4/2023 5:01,1954.0,12.0,1.0,-2147483648,51,101,60,1397715000
16,64400,Technology,Mark Zuckerberg,39,United States,Facebook,Technology,United States,True,D,M,1984-05-14 00:00:00,4/4/2023 5:01,1984.0,5.0,14.0,-2147483648,89,102,37,328239523
17,59000,Diversified,Charles Koch & family,88,United States,Koch Industries,Diversified,United States,False,D,M,1935-11-01 00:00:00,4/4/2023 5:01,1935.0,11.0,1.0,-2147483648,89,102,37,328239523
17,59000,Diversified,Julia Koch & family,61,United States,Koch Industries,Diversified,United States,False,D,F,1962-04-12 00:00:00,4/4/2023 5:01,1962.0,4.0,12.0,-2147483648,89,102,37,328239523
19,58800,Fashion & Retail,Jim Walton,75,United States,Walmart,Fashion & Retail,United States,False,D,M,1948-06-07 00:00:00,4/4/2023 5:01,1948.0,6.0,7.0,-2147483648,89,102,37,328239523
